Index,NOC,Year,Season,Host,CompetitorID
402,BER,2016,Summer,0,8
403,BHU,1984,Summer,0,6
404,BHU,1988,Summer,0,4
405,BHU,1992,Summer,0,8
406,BHU,1996,Summer,0,2
407,BHU,2000,Summer,0,2
408,BHU,2004,Summer,0,2
409,BHU,2008,Summer,0,2
410,BHU,2012,Summer,0,2
411,BHU,2016,Summer,0,2
412,BIH,1992,Summer,0,13
413,BIH,1994,Winter,0,8
414,BIH,1996,Summer,0,12
415,BIH,1998,Winter,0,8
416,BIH,2000,Summer,0,11
417,BIH,2002,Winter,0,4
418,BIH,2004,Summer,0,11
419,BIH,2006,Winter,0,9
420,BIH,2008,Summer,0,7
421,BIH,2010,Winter,0,10
422,BIH,2012,Summer,0,8
423,BIH,2014,Winter,0,14
424,BIH,2016,Summer,0,11
425,BIZ,1968,Summer,0,7
426,BIZ,1972,Summer,0,2
427,BIZ,1976,Summer,0,4
428,BIZ,1984,Summer,0,10
429,BIZ,1988,Summer,0,10
430,BIZ,1992,Summer,0,12
431,BIZ,1996,Summer,0,5
432,BIZ,2000,Summer,0,2
433,BIZ,2004,Summer,0,2
434,BIZ,2008,Summer,0,4
435,BIZ,2012,Summer,0,3
436,BIZ,2016,Summer,0,3
437,BLR,1994,Winter,0,62
438,BLR,1996,Summer,0,236
439,BLR,1998,Winter,0,73
440,BLR,2000,Summer,0,201
441,BLR,2002,Winter,0,88
442,BLR,2004,Summer,0,172
443,BLR,2006,Winter,0,61
444,BLR,2008,Summer,0,207
445,BLR,2010,Winter,0,63
446,BLR,2012,Summer,0,145
447,BLR,2014,Winter,0,60
448,BLR,2016,Summer,0,134
449,BOH,1900,Summer,0,9
450,BOH,1906,Summer,0,28
451,BOH,1908,Summer,0,33
452,BOH,1912,Summer,0,58
453,BOL,1936,Summer,0,2
454,BOL,1956,Winter,0,2
455,BOL,1964,Summer,0,1
456,BOL,1968,Summer,0,4
457,BOL,1972,Summer,0,14
458,BOL,1976,Summer,0,5
459,BOL,1980,Winter,0,8
460,BOL,1984,Summer,0,13
461,BOL,1984,Winter,0,5
462,BOL,1988,Summer,0,12
463,BOL,1988,Winter,0,8
464,BOL,1992,Summer,0,18
465,BOL,1992,Winter,0,8
466,BOL,1996,Summer,0,9
467,BOL,2000,Summer,0,5
468,BOL,2004,Summer,0,11
469,BOL,2008,Summer,0,7
470,BOL,2012,Summer,0,5
471,BOL,2016,Summer,0,12
472,BOT,1980,Summer,0,8
473,BOT,1984,Summer,0,8
474,BOT,1988,Summer,0,8
475,BOT,1992,Summer,0,6
476,BOT,1996,Summer,0,4
477,BOT,2000,Summer,0,5
478,BOT,2004,Summer,0,8
479,BOT,2008,Summer,0,11
480,BOT,2012,Summer,0,4
481,BOT,2016,Summer,0,11
482,BRA,1900,Summer,0,3
483,BRA,1920,Summer,0,19
484,BRA,1924,Summer,0,18
485,BRA,1932,Summer,0,53
486,BRA,1936,Summer,0,81
487,BRA,1948,Summer,0,82
488,BRA,1952,Summer,0,88
489,BRA,1956,Summer,0,51
490,BRA,1960,Summer,0,52
491,BRA,1964,Summer,0,30
492,BRA,1968,Summer,0,44
493,BRA,1972,Summer,0,64
494,BRA,1976,Summer,0,60
495,BRA,1980,Summer,0,104
496,BRA,1984,Summer,0,118
497,BRA,1988,Summer,0,159
498,BRA,1992,Summer,0,167
499,BRA,1992,Winter,0,16
500,BRA,1994,Winter,0,1
501,BRA,1996,Summer,0,154
502,BRA,1998,Winter,0,1
503,BRA,2000,Summer,0,137
504,BRA,2002,Winter,0,7
505,BRA,2004,Summer,0,203
506,BRA,2006,Winter,0,9
507,BRA,2008,Summer,0,210
508,BRA,2010,Winter,0,7
509,BRA,2012,Summer,0,199
510,BRA,2014,Winter,0,13
511,BRA,2016,Summer,1,344
512,BRN,1984,Summer,0,12
513,BRN,1988,Summer,0,11
514,BRN,1992,Summer,0,12
515,BRN,1996,Summer,0,5
516,BRN,2000,Summer,0,4
517,BRN,2004,Summer,0,10
518,BRN,2008,Summer,0,15
519,BRN,2012,Summer,0,14
520,BRN,2016,Summer,0,33
521,BRU,1996,Summer,0,1
522,BRU,2000,Summer,0,2
523,BRU,2004,Summer,0,1
524,BRU,2012,Summer,0,3
525,BRU,2016,Summer,0,3
526,BUL,1924,Summer,0,18
527,BUL,1928,Summer,0,8
528,BUL,1932,Summer,0,2
529,BUL,1936,Summer,0,71
530,BUL,1936,Winter,0,8
531,BUL,1948,Winter,0,9
532,BUL,1952,Summer,0,140
533,BUL,1952,Winter,0,16
534,BUL,1956,Summer,0,67
535,BUL,1956,Winter,0,15
536,BUL,1960,Summer,0,151
537,BUL,1960,Winter,0,15
538,BUL,1964,Summer,0,100
539,BUL,1964,Winter,0,17
540,BUL,1968,Summer,0,149
541,BUL,1968,Winter,0,14
542,BUL,1972,Summer,0,174
543,BUL,1972,Winter,0,12
544,BUL,1976,Summer,0,211
545,BUL,1976,Winter,0,22
546,BUL,1980,Summer,0,301
547,BUL,1980,Winter,0,16
548,BUL,1984,Winter,0,30
549,BUL,1988,Summer,0,233
550,BUL,1988,Winter,0,39
551,BUL,1992,Summer,0,209
552,BUL,1992,Winter,0,57
553,BUL,1994,Winter,0,33
554,BUL,1996,Summer,0,150
555,BUL,1998,Winter,0,31
556,BUL,2000,Summer,0,135
557,BUL,2002,Winter,0,47
558,BUL,2004,Summer,0,112
559,BUL,2006,Winter,0,41
560,BUL,2008,Summer,0,74
561,BUL,2010,Winter,0,38
