,year,season,Country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Actual_Predicted,Latitude,Longitude
0,2014,Winter,Canada,CAN,35437400.0,43607.0,0.0682742,0,25.0,0.08499514063357938,0.08499514063357938,24.988571346272337,0.011428653727662663,61.0666922,-107.9917071
1,2014,Winter,Azerbaijan,AZE,9535080.0,17439.0,0.00108372,0,0.0,-0.0022951460520015485,0.0,0.0,0.0,40.3936294,47.7872508
2,2014,Winter,Iceland,ISL,327386.0,38563.0,0.00298022,0,0.0,0.01006338613683479,0.01006338613683479,2.9586355242294284,-2.9586355242294284,64.9841821,-18.1059013
3,2014,Winter,Paraguay,PAR,6599520.0,8382.0,0.000270929,0,0.0,-0.007571359374154868,0.0,0.0,0.0,-23.3165935,-58.1693445
4,2014,Winter,Albania,ALB,2889100.0,9808.0,0.000541859,0,0.0,-0.006568225622260054,0.0,0.0,0.0,41.000028,19.9999619
5,2014,Winter,Lithuania,LTU,2932370.0,23252.0,0.00541859,0,0.0,0.005358739573518945,0.005358739573518945,1.57546943461457,-1.57546943461457,55.3500003,23.7499997
6,2014,Winter,Thailand,THA,68438800.0,14642.0,0.000812788,0,0.0,-0.004139416659339991,0.0,0.0,0.0,14.8971921,100.83273
7,2014,Winter,Austria,AUT,8546360.0,41338.0,0.0433487,0,17.0,0.05626776409715646,0.05626776409715646,16.542722644563998,0.4572773554360019,47.2000338,13.199959
8,2014,Winter,Israel,ISR,8215700.0,30686.0,0.00162558,0,0.0,0.0047206796689254135,0.0047206796689254135,1.3878798226640716,-1.3878798226640716,31.5313113,34.8667654
9,2014,Winter,Finland,FIN,5461510.0,36858.0,0.0257383,0,5.0,0.03452810442601917,0.03452810442601917,10.151262701249635,-5.151262701249635,63.2467777,25.9209164
10,2014,Winter,Italy,ITA,60789100.0,32829.0,0.0493091,0,8.0,0.058610440354160104,0.058610440354160104,17.23146946412307,-9.23146946412307,42.6384261,12.674297
11,2014,Winter,Luxembourg,LUX,556319.0,55102.0,0.000270929,0,0.0,0.015051767752803789,0.015051767752803789,4.425219719324314,-4.425219719324314,49.8158683,6.1296751
12,2014,Winter,Pakistan,PAK,195305000.0,4850.0,0.000270929,0,0.0,-0.00988817825595915,0.0,0.0,0.0,30.3308401,71.247499
