Year,Season,Country,NOC,Population,gdp_per_capita,athlete_share,Host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,,Lattitude,Longitude
2020,Summer,Ethiopia,ETH,114963583,994,0.00330924,0,4,0.002747478,0.002747478,2.967276104,1.032723896,1.032723896,10.2116702,38.6521203
2020,Summer,Federated States of Micronesia,FSM,115021,3899,0.000261256,0,0,-0.003328791,0,0,0,0,6.8874813 ,158.2150717
2020,Summer,Fiji,FIJ,896444,4797,0.002612558,0,2,-0.000134855,0,0,2,2,-18.1239696,179.0122737
2020,Summer,Finland,FIN,5530719,48981,0.003918837,0,2,0.00045513,0.00045513,0.491540751,1.508459249,1.508459249,63.2467777,25.9209164
2020,Summer,France,FRA,67391582,39907,0.034659932,0,33,0.043634637,0.043634637,47.12540847,-14.12540847,14.12540847,46.603354,1.8883335
2020,Summer,Gabon,GAB,2225728,7421,0.000435426,0,0,-0.003158392,0,0,0,0,-0.8999695,11.6899699
2020,Summer,Georgia,GEO,3714000,4248,0.003047984,0,0,0.000519827,0.000519827,0.561413225,-0.561413225,0.561413225,32.3293809,-83.1137366
2020,Summer,Germany,GER,83240525,45733,0.037011234,0,37,0.04692821,0.04692821,50.6824666,-13.6824666,13.6824666,51.0834196,10.4234469
2020,Summer,Ghana,GHA,31072945,2223,0.001219194,0,1,-0.001479356,0,0,1,1,8.0300284,-1.0800271
2020,Summer,Great Britain,GBR,67215293,40285,0.032744056,0,65,0.041007737,0.041007737,44.28835554,20.71164446,20.71164446,53.8260 ,2.4220 
2020,Summer,Greece,GRE,10715549,17670,0.007228076,0,4,0.005948841,0.005948841,6.424748463,-2.424748463,2.424748463,38.9953683,21.9877132
2020,Summer,Grenada,GRN,112519,9186,0.000522512,0,1,-0.003123948,0,0,1,1,12.1360374,-61.6904045
2020,Summer,Guam,GUM,168783,34624,0.000435426,0,0,-0.003970619,0,0,0,0,13.444304,144.793731
2020,Summer,Guatemala,GUA,16858333,4289,0.002090046,0,0,-0.000577892,0,0,0,0,15.6356088,-89.8988087
2020,Summer,Guinea,GUI,13132792,1106,0.000435426,0,0,-0.002803146,0,0,0,0,10.7226226,-10.7083587
2020,Summer,Guinea-Bissau,GBS,1967998,790,0.000348341,0,0,-0.003091321,0,0,0,0,12.100035,-14.9000214
2020,Summer,Guyana,GUY,786559,7327,0.000609597,0,0,-0.002941132,0,0,0,0,4.8417097,-58.6416891
2020,Summer,Haiti,HAI,11402533,1253,0.000522512,0,0,-0.002716226,0,0,0,0,19.1399952,-72.3570972
2020,Summer,Honduras,HON,9904608,2383,0.001915876,0,0,-0.000871994,0,0,0,0,15.2572432,-86.0755145
2020,Summer,Hong Kong,HKG,7481800,4675,0.004005922,0,0,0.000668929,0.000668929,0.722443104,-0.722443104,0.722443104,22.396428,114.109497
2020,Summer,Hungary,HUN,9749763,15820,0.014456153,0,20,0.0158455,0.0158455,17.1131397,2.886860298,2.886860298,47.1817585,19.5060937
2020,Summer,Iceland,ISL,366425,59634,0.000348341,0,0,-0.004802766,0,0,0,0,64.9841821,-18.1059013
2020,Summer,India,IND,1380004385,1965,0.010972742,0,7,0.033391482,0.033391482,36.06280055,-29.06280055,29.06280055,22.3511148,78.6677428
2020,Summer,Indonesia,INA,273523621,3922,0.002438387,0,5,0.004009972,0.004009972,4.330769919,0.669230081,0.669230081,-2.4833826,117.8902853
2020,Summer,Iran,IRI,83992953,4802.05,0.005747627,0,7,0.005469342,0.005469342,5.9068899,1.0931101,1.0931101,32.6475314,54.5643516
2020,Summer,Iraq,IRQ,40222503,4289,0.000348341,0,0,-0.002580153,0,0,0,0,33.0955793,44.1749775
2020,Summer,Ireland,IRL,4994724,83850,0.01010189,0,4,0.007881267,0.007881267,8.51176813,-4.51176813,4.51176813,52.865196,-7.9794599
2020,Summer,Israel,ISR,9216900,43689,0.007837673,0,4,0.006010949,0.006010949,6.491824457,-2.491824457,2.491824457,31.5313113,34.8667654
2020,Summer,Italy,ITA,59554023,31288,0.033179483,0,40,0.04173697,0.04173697,45.07592745,-5.075927449,5.075927449,42.6384261,12.674297
2020,Summer,Ivory Coast,CIV,26378275,2310.57,0.002438387,0,1,0.00010608,0.00010608,0.11456691,0.88543309,0.88543309,7.539989,-5.54708
2020,Summer,Jamaica,JAM,2961161,5096,0.004354263,0,9,0.002265264,0.002265264,2.446484822,6.553515178,6.553515178,18.1152958,-77.15984546
2020,Summer,Japan (Host),JPN,125836021,40146,0.048419403,1,0,0.070089614,0.070089614,75.69678351,-75.69678351,75.69678351,36.204824,138.252924
2020,Summer,Jordan,JOR,10203140,4259,0.001219194,0,2,-0.001871242,0,0,2,2,31.1667049,36.941628
2020,Summer,Kazakhstan,KAZ,18754440,8733,0.008098929,0,8,0.007521208,0.007521208,8.122904389,-0.122904389,0.122904389,47.2286086,65.2093197
2020,Summer,Kenya,KEN,53771300,2039,0.007402247,0,10,0.007322378,0.007322378,7.908168761,2.091831239,2.091831239,1.4419683,38.4313975
2020,Summer,Kiribati,KIR,119446,1688,0.000261256,0,0,-0.003265377,0,0,0,0,-3.370417,-168.734039
2020,Summer,Kosovo,KOS,1775378,4310,0.000957938,0,2,-0.002363755,0,0,2,2,42.5869578,20.9021231
2020,Summer,Kuwait,KUW,4270571,22105,0.000957938,0,1,-0.002833692,0,0,1,1,29.2733964,47.4979476
2020,Summer,Kyrgyzstan,KGZ,6591600,1146,0.001393364,0,3,-0.001602211,0,0,3,3,41.5089324,74.724091
2020,Summer,Laos,LAO,7275556,8221,0.000348341,0,0,-0.003219385,0,0,0,0,20.0171109,103.378253
2020,Summer,Latvia,LAT,1901548,17560,0.002873813,0,2,-0.000128092,0,0,2,2,56.8406494,24.7537645
2020,Summer,Lebanon,LBN,6825442,2802,0.000522512,0,0,-0.002833759,0,0,0,0,33.8750629,35.843409
2020,Summer,Lesotho,LES,2142252,1003,0.000174171,0,0,-0.003332206,0,0,0,0,-29.609988,28.233608
2020,Summer,Liberia,LBR,5057677,646,0.000261256,0,0,-0.003156597,0,0,0,0,5.7499721,-9.3658524
2020,Summer,Libya,LBA,6871287,3281,0.000348341,0,0,-0.003084318,0,0,0,0,26.8234472,18.1236723
2020,Summer,Liechtenstein,LIE,38137,143400,0.000435426,0,0,-0.007089079,0,0,0,0,47.1416307,9.5531527
2020,Summer,Lithuania,LTU,2794700,19917,0.003657581,0,1,0.000887716,0.000887716,0.958733126,0.041266874,0.041266874,55.3500003,23.7499997
2020,Summer,Luxembourg,LUX,632275,116921,0.001045023,0,0,-0.005489485,0,0,0,0,49.8158683,6.1296751
2020,Summer,Madagascar,MAD,27691019,502,0.000522512,0,0,-0.002434376,0,0,0,0,-18.9249604,46.4416422
2020,Summer,Malawi,MAW,19129955,407,0.000435426,0,0,-0.002687269,0,0,0,0,-13.2687204,33.9301963
2020,Summer,Malaysia,MAS,32365998,10270,0.002612558,0,2,0.000211317,0.000211317,0.228221825,1.771778175,1.771778175,4.5693754,102.2656823
2020,Summer,Maldives,MDV,540542,9934,0.000348341,0,0,-0.003376106,0,0,0,0,4.7064352,73.3287853
2020,Summer,Mali,MLI,20250834,897,0.000348341,0,0,-0.002802176,0,0,0,0,16.3700359,-2.2900239
2020,Summer,Malta,MLT,525285,28294,0.000522512,0,0,-0.003664784,0,0,0,0,35.8885993,14.4476911
2020,Summer,Marshall Islands,MHL,59194,4240,0.000174171,0,0,-0.003458237,0,0,0,0,7.131474,171.184478
2020,Summer,Mauritania,MTN,4649660,1971,0.000174171,0,0,-0.003319863,0,0,0,0,20.2540382,-9.2399263
2020,Summer,Mauritius,MRI,1265740,8993,0.000696682,0,0,-0.002862419,0,0,0,0,-20.2759451,57.5703566
2020,Summer,Mexico,MEX,128932753,8421,0.014107812,0,4,0.01748721,0.01748721,18.88618688,-14.88618688,14.88618688,19.4326296,-99.1331785
2020,Summer,Moldova,MDA,2620495,4366,0.001741705,0,1,-0.001282795,0,0,1,1,47.2879608,28.5670941
2020,Summer,Monaco,MON,39244,185600,0.000522512,0,0,-0.008179283,0,0,0,0,43.7323492,7.4276832
2020,Summer,Mongolia,MGL,3278292,3916,0.003744666,0,4,0.001472649,0.001472649,1.590460629,2.409539371,2.409539371,46.8250388,103.8499736
2020,Summer,Montenegro,MNE,621306,7689,0.002960899,0,0,0.000253031,0.000253031,0.273273161,-0.273273161,0.273273161,42.9868853,19.5180992
2020,Summer,Morocco,MAR,36910558,3158,0.004354263,0,1,0.002863391,0.002863391,3.092461775,-2.092461775,2.092461775,31.1728205,-7.3362482
2020,Summer,Mozambique,MOZ,31255435,450,0.000870853,0,0,-0.00190078,0,0,0,0,-19.302233,34.9144977
2020,Summer,Myanmar,MYA,54409794,1527,0.000261256,0,0,-0.002393056,0,0,0,0,17.1750495,95.9999652
2020,Summer,Namibia,NAM,2540916,4175,0.000957938,0,1,-0.002347652,0,0,1,1,-23.2335499,17.3231107
2020,Summer,Nauru,NRU,10834,8867,0.000174171,0,0,-0.003591571,0,0,0,0,-0.522778,166.931503
2020,Summer,Nepal,NEP,29136808,1196,0.000435426,0,0,-0.002549936,0,0,0,0,28.1083929,84.0917139
2020,Summer,Netherlands,NED,17441139,52248,0.024209701,0,36,0.028228621,0.028228621,30.48691041,5.513089591,5.513089591,52.5001698,5.7480821
2020,Summer,New Zealand,NZL,5084300,41127,0.018374989,0,20,0.020391191,0.020391191,22.02248664,-2.022486635,2.022486635,-41.5000831,172.8344077
2020,Summer,Nicaragua,NCA,6624554,1870,0.000696682,0,0,-0.002572701,0,0,0,0,12.6090157,-85.2936911
2020,Summer,Niger,NIG,24206636,566,0.000609597,0,0,-0.002373116,0,0,0,0,17.7356214,9.3238432
2020,Summer,Nigeria,NGR,206139587,2083,0.005225115,0,2,0.006786773,0.006786773,7.329714669,-5.329714669,5.329714669,9.6000359,7.9999721
2020,Summer,North Macedonia,MKD,2072531,5918,0.000696682,0,1,-0.002761427,0,0,1,1,41.6171214,21.7168387
2020,Summer,Norway,NOR,5379475,67176,0.006531394,0,8,0.003494963,0.003494963,3.774559564,4.225440436,4.225440436,64.5731537,11.52803644
2020,Summer,Oman,OMA,5106622,14216,0.000435426,0,0,-0.00330702,0,0,0,0,21.0000287,57.0036901
2020,Summer,Pakistan,PAK,220892331,1260,0.000870853,0,0,0.00110693,0.00110693,1.195483962,-1.195483962,1.195483962,30.3308401,71.247499
2020,Summer,Palau,PLW,18092,14412,0.000261256,0,0,-0.003631532,0,0,0,0,7.51498,134.58252
2020,Summer,Palestine,PLE,4803269,5394.07,0.000435426,0,0,-0.003059125,0,0,0,0,31.354676,34.308825
2020,Summer,Panama,PAN,4314768,12373,0.000870853,0,0,-0.002672953,0,0,0,0,8.559559,-81.1308434
2020,Summer,Papua New Guinea,PNG,8947027,2685,0.000696682,0,0,-0.00255893,0,0,0,0,-5.6816069,144.2489081
2020,Summer,Paraguay,PAR,7132530,4946,0.000696682,0,0,-0.002652707,0,0,0,0,-23.3165935,-58.1693445
2020,Summer,Peru,PER,32971846,6084,0.003047984,0,0,0.000934847,0.000934847,1.009634794,-1.009634794,1.009634794,-6.8699697,-75.0458515
2020,Summer,Philippines,PHI,109581085,3330,0.00165462,0,4,0.000337625,0.000337625,0.364634971,3.635365029,3.635365029,12.7503486,122.7312101
2020,Summer,Poland,POL,37950802,15654,0.018287904,0,14,0.021527491,0.021527491,23.24969076,-9.24969076,9.24969076,52.215933,19.134422
2020,Summer,Portugal,POR,10305564,22489,0.008011844,0,4,0.006873286,0.006873286,7.42314877,-3.42314877,3.42314877,40.0332629,-7.8896263
2020,Summer,Puerto Rico,PUR,3194034,30317,0.003222154,0,1,2.22E-06,2.22E-06,0.002399583,0.997600417,0.997600417,18.220833,-66.590149
2020,Summer,Qatar,QAT,2881060,52144,0.001393364,0,3,-0.00312258,0,0,3,3,25.3336984,51.2295295
2020,Summer,Republic of the Congo,CGO,89561404,457,0.000261256,0,0,-0.001800582,0,0,0,0,-0.228021,15.827659
2020,Summer,Russian Olympic Committee,ROC,146004139,11786.62,0.029173561,0,0,0.038213308,0.038213308,41.27037211,-41.27037211,41.27037211,61.52401,105.318756
2020,Summer,Romania,ROU,19286123,12797,0.008795611,0,4,0.008363548,0.008363548,9.032631845,-5.032631845,5.032631845,45.9852129,24.6859225
2020,Summer,Rwanda,RWA,12952209,819,0.000522512,0,0,-0.002679025,0,0,0,0,-1.9646631,30.0644358
2020,Summer,Saint Kitts and Nevis,SKN,53192,17173,0.000174171,0,0,-0.003828856,0,0,0,0,17.250512,-62.6725973
2020,Summer,Saint Lucia,LCA,183629,9351,0.000435426,0,0,-0.003246324,0,0,0,0,13.8250489,-60.975036
2020,Summer,Saint Vincent and the Grenadines,VIN,110940,7298,0.000261256,0,0,-0.003426236,0,0,0,0,12.90447,-61.2765569
2020,Summer,Samoa,SAM,198410,3961,0.000696682,0,0,-0.002735314,0,0,0,0,-13.759029,-172.104629
2020,Summer,San Marino,SMR,33938,44818,0.000435426,0,0,-0.004264826,0,0,0,0,43.9458623,12.458306
2020,Summer,São Tomé and Príncipe,STP,219161,1918,0.000261256,0,0,-0.003270372,0,0,0,0,0.18636,6.613081
2020,Summer,Saudi Arabia,KSA,34813867,20178,0.002525472,0,1,-0.000152204,0,0,1,1,25.6242618,42.3528328
2020,Summer,Senegal,SEN,16743930,1460,0.000783767,0,0,-0.002280435,0,0,0,0,14.4750607,-14.4529612
2020,Summer,Serbia,SRB,6908224,7636,0.007489332,0,9,0.006531811,0.006531811,7.054356239,1.945643761,1.945643761,44.02432285,21.07657433
2020,Summer,Seychelles,SEY,98462,11639,0.000435426,0,0,-0.003313235,0,0,0,0,-4.6574977,55.4540146
2020,Summer,Sierra Leone,SLE,7976985,527,0.000348341,0,0,-0.002987746,0,0,0,0,8.6400349,-11.8400269
2020,Summer,Singapore,SGP,5685807,58902,0.002002961,0,0,-0.002439876,0,0,0,0,1.357107,103.8194992
2020,Summer,Slovakia,SVK,5458827,19071,0.003570496,0,4,0.000835749,0.000835749,0.902609389,3.097390611,3.097390611,48.7411522,19.4528646
2020,Summer,Slovenia,SLO,2100126,25211,0.004615519,0,5,0.002031571,0.002031571,2.194097078,2.805902922,2.805902922,45.8133113,14.4808369
2020,Summer,Solomon Islands,SOL,686878,2392,0.000261256,0,0,-0.003276477,0,0,0,0,-9.64571,160.156194
2020,Summer,Somalia,SOM,15893219,327,0.000174171,0,0,-0.003093061,0,0,0,0,8.3676771,49.083416
2020,Summer,South Africa,RSA,59308690,5067,0.01541409,0,3,0.01825228,0.01825228,19.71246233,-16.71246233,16.71246233,-28.8166236,24.991639
2020,Summer,South Korea,KOR,51780579,31489,0.020639206,0,20,0.02450204,0.02450204,26.46220282,-6.462202817,6.462202817,35.7724185,127.7965435
2020,Summer,South Sudan,SSD,11193729,296,0.000174171,0,0,-0.003167283,0,0,0,0,7.8699431,29.6667897
2020,Summer,Spain,ESP,47351567,27132,0.027954367,0,17,0.034533953,0.034533953,37.29666933,-20.29666933,20.29666933,39.3262345,-4.8380649
2020,Summer,Sri Lanka,SRI,21919000,3679,0.000783767,0,0,-0.002261296,0,0,0,0,7.5554942,80.7137847
2020,Summer,Sudan,SUD,43849269,775,0.000435426,0,0,-0.00230273,0,0,0,0,14.5844444,29.4917691
2020,Summer,Suriname,SUR,586634,3988,0.000261256,0,0,-0.003323803,0,0,0,0,4.1413025,-56.0771187
2020,Summer,Sweden,SWE,10353442,51796,0.011669424,0,9,0.011023359,0.011023359,11.90522744,-2.905227436,2.905227436,59.6749712,14.5208584
