Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude
2016,summer,Laos,LAO,6845850,5859,0.000510308,0,0,-0.003552619,0,0,0,20.0171109,103.378253
2016,summer,Costa Rica,CRC,4899340,14098,0.00112268,0,0,-0.003135236,0,0,0,10.2735633,-84.0739102
2016,summer,Malaysia,MAS,30684700,23053,0.00357216,0,5,0.000448832,0.000448832,0.429532239,4.570467761,4.5693754,102.2656823
2016,summer,Tanzania,TAN,53049200,2660,0.000714432,0,0,-0.002215319,0,0,0,-6.5247123,35.7878438
2016,summer,Germany,GER,82348700,44689,0.0376607,0,42,0.050065661,0.050065661,47.91283775,-5.912837749,51.0834196,10.4234469
2016,summer,Chad,CHA,14561700,2189,0.000204123,0,0,-0.003658692,0,0,0,15.6134137,19.0156172
2016,summer,Cape Verde,CPV,531140,6418,0.000510308,0,0,-0.003701146,0,0,0,16.0000552,-24.0083947
2016,summer,Ghana,GHA,28481900,3878,0.00122474,0,0,-0.001996415,0,0,0,8.0300284,-1.0800271
2016,summer,0,PRK,25307700,1742.02,0.00357216,0,7,0.001487821,0.001487821,1.423844593,5.576155407,0,0
2016,summer,Latvia,LAT,1959540,22092,0.00326597,0,0,-0.00048672,0,0,0,56.8406494,24.7537645
2016,summer,Argentina,ARG,43590400,18875,0.0112268,0,4,0.012098269,0.012098269,11.57804337,-7.578043369,-34.9964963,-64.9672817
2016,summer,Mauritius,MRI,1263470,18918,0.00112268,0,0,-0.003461375,0,0,0,-20.2759451,57.5703566
2016,summer,United Arab Emirates,UAE,9360980,75876,0.00122474,0,1,-0.00620703,0,0,1,24.0002488,53.9994829
2016,summer,Venezuela,VEN,29851200,15219,0.00979792,0,3,0.009948138,0.009948138,9.520367647,-6.520367647,8.0018709,-66.1109318
2016,summer,Switzerland,SUI,8373340,59662,0.0125536,0,7,0.011193334,0.011193334,10.71202046,-3.712020459,46.7985624,8.2319736
2016,summer,Belgium,BEL,11331400,38766,0.0109206,0,6,0.009980872,0.009980872,9.551694872,-3.551694872,50.6402809,4.6667145
2016,summer,0,LES,2075040,2767,0.000918555,0,0,-0.002880385,0,0,0,0,0
2016,summer,Greece,GRE,10776000,22574,0.00806287,0,6,0.006661434,0.006661434,6.374992126,-0.374992126,38.9953683,21.9877132
2016,summer,0,COM,795597,1702,0.000408247,0,0,-0.003593015,0,0,0,0,0
2016,summer,Azerbaijan,AZE,9757810,16645,0.00704225,0,18,0.005468334,0.005468334,5.233195334,12.76680467,40.3936294,47.7872508
2016,summer,Portugal,POR,10325500,25346,0.00847112,0,1,0.007101144,0.007101144,6.795795117,-5.795795117,40.0332629,-7.8896263
2016,summer,Iraq,IRQ,36610600,13898,0.000510308,0,0,-0.003423511,0,0,0,33.0955793,44.1749775
2016,summer,Angola,ANG,28842500,8453,0.00112268,0,0,-0.002383484,0,0,0,-11.8775768,17.5691241
2016,summer,Cambodia,CAM,15766300,3251,0.00061237,0,0,-0.00309642,0,0,0,13.5066394,104.869423
2016,summer,Egypt,EGY,94447100,11351,0.0102062,0,3,0.011965009,0.011965009,11.45051366,-8.450513662,26.2540493,29.2675469
2016,summer,Bangladesh,BAN,157977000,3604,0.000714432,0,0,-0.000294709,0,0,0,24.4768783,90.2932426
2016,summer,Iceland,ISL,335439,42085,0.00142886,0,0,-0.004270759,0,0,0,64.9841821,-18.1059013
2016,summer,Moldova,MDA,2802170,6068,0.00234742,0,0,-0.000955722,0,0,0,47.2879608,28.5670941
2016,summer,Paraguay,PAR,6777880,8786,0.00112268,0,0,-0.002815789,0,0,0,-23.3165935,-58.1693445
2016,summer,Ireland,IRL,4755340,56597,0.00765462,0,2,0.004131869,0.004131869,3.954198327,-1.954198327,52.865196,-7.9794599
2016,summer,Philippines,PHI,103664000,7410,0.0013268,0,1,-0.00062392,0,0,1,12.7503486,122.7312101
2016,summer,Myanmar,MYA,53045200,5284,0.000816493,0,0,-0.002206649,0,0,0,17.1750495,95.9999652
2016,summer,Mozambique,MOZ,27829900,1113,0.000714432,0,0,-0.002606318,0,0,0,-19.302233,34.9144977
2016,summer,Thailand,THA,68971300,15454,0.00561339,0,6,0.004556813,0.004556813,4.360870398,1.639129602,14.8971921,100.83273
2016,summer,Central African Republic,CAF,4537680,589,0.00061237,0,0,-0.003164954,0,0,0,7.0323598,19.9981227
2016,summer,Austria,AUT,8736670,41445,0.00755256,0,1,0.004868082,0.004868082,4.658754009,-3.658754009,47.2000338,13.199959
2016,summer,Peru,PER,30926000,11776,0.0034701,0,0,0.0009075,0.0009075,0.868477399,-0.868477399,-6.8699697,-75.0458515
2016,summer,Slovakia,SVK,5430800,25364,0.00581751,0,4,0.003131283,0.003131283,2.996637699,1.003362301,48.7411522,19.4528646
2016,summer,Israel,ISR,8546000,31701,0.00551133,0,2,0.002403483,0.002403483,2.300133351,-0.300133351,31.5313113,34.8667654
2016,summer,Panama,PAN,4037070,21449,0.00142886,0,0,-0.003097332,0,0,0,8.559559,-81.1308434
2016,summer,Singapore,SGP,5607280,65729,0.00295979,0,1,-0.003199821,0,0,1,1.357107,103.8194992
2016,summer,Mauritania,MTN,4163530,3407,0.000204123,0,0,-0.00391918,0,0,0,20.2540382,-9.2399263
2016,summer,Guatemala,GUA,15827700,7221,0.00255154,0,0,-0.00047449,0,0,0,15.6356088,-89.8988087
