Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude,Unnamed: 0,year,Country,Difference_Actual_Predicted,Latitude,Longitude
2016.0,summer,Morocco,MAR,35126300.0,8039.0,0.00530721,0,1.0,0.003870345,0.003870345,3.70391973,-2.70391973,31.1728205,-7.3362482,,,,,,
2016.0,summer,Benin,BEN,10872100.0,2080.0,0.00061237,0,0.0,-0.003125719,0.0,0.0,0.0,9.5293472,2.2584408,,,,,,
2016.0,summer,Seychelles,SEY,94677.0,26624.0,0.00102062,0,0.0,-0.004044663,0.0,0.0,0.0,-4.6574977,55.4540146,,,,,,
2016.0,summer,Equatorial Guinea,GEQ,1215180.0,33317.0,0.000102062,0,0.0,-0.005723667,0.0,0.0,0.0,1.613172,10.5170357,,,,,,
2016.0,summer,Laos,LAO,6845850.0,5859.0,0.000510308,0,0.0,-0.003552619,0.0,0.0,0.0,20.0171109,103.378253,,,,,,
2016.0,summer,Costa Rica,CRC,4899340.0,14098.0,0.00112268,0,0.0,-0.003135236,0.0,0.0,0.0,10.2735633,-84.0739102,,,,,,
2016.0,summer,Malaysia,MAS,30684700.0,23053.0,0.00357216,0,5.0,0.000448832,0.000448832,0.429532239,4.570467761,4.5693754,102.2656823,,,,,,
2016.0,summer,Tanzania,TAN,53049200.0,2660.0,0.000714432,0,0.0,-0.002215319,0.0,0.0,0.0,-6.5247123,35.7878438,,,,,,
2016.0,summer,Germany,GER,82348700.0,44689.0,0.0376607,0,42.0,0.050065661,0.050065661,47.91283775,-5.912837749,51.0834196,10.4234469,,,,,,
2016.0,summer,Chad,CHA,14561700.0,2189.0,0.000204123,0,0.0,-0.003658692,0.0,0.0,0.0,15.6134137,19.0156172,,,,,,
2016.0,summer,Cape Verde,CPV,531140.0,6418.0,0.000510308,0,0.0,-0.003701146,0.0,0.0,0.0,16.0000552,-24.0083947,,,,,,
2016.0,summer,Ghana,GHA,28481900.0,3878.0,0.00122474,0,0.0,-0.001996415,0.0,0.0,0.0,8.0300284,-1.0800271,,,,,,
2016.0,summer,0,PRK,25307700.0,1742.02,0.00357216,0,7.0,0.001487821,0.001487821,1.423844593,5.576155407,0.0,0.0,,,,,,
2016.0,summer,Latvia,LAT,1959540.0,22092.0,0.00326597,0,0.0,-0.00048672,0.0,0.0,0.0,56.8406494,24.7537645,,,,,,
2016.0,summer,Argentina,ARG,43590400.0,18875.0,0.0112268,0,4.0,0.012098269,0.012098269,11.57804337,-7.578043369,-34.9964963,-64.9672817,,,,,,
2016.0,summer,Mauritius,MRI,1263470.0,18918.0,0.00112268,0,0.0,-0.003461375,0.0,0.0,0.0,-20.2759451,57.5703566,,,,,,
2016.0,summer,United Arab Emirates,UAE,9360980.0,75876.0,0.00122474,0,1.0,-0.00620703,0.0,0.0,1.0,24.0002488,53.9994829,,,,,,
2016.0,summer,Venezuela,VEN,29851200.0,15219.0,0.00979792,0,3.0,0.009948138,0.009948138,9.520367647,-6.520367647,8.0018709,-66.1109318,,,,,,
2016.0,summer,Switzerland,SUI,8373340.0,59662.0,0.0125536,0,7.0,0.011193334,0.011193334,10.71202046,-3.712020459,46.7985624,8.2319736,,,,,,
2016.0,summer,Belgium,BEL,11331400.0,38766.0,0.0109206,0,6.0,0.009980872,0.009980872,9.551694872,-3.551694872,50.6402809,4.6667145,,,,,,
2016.0,summer,0,LES,2075040.0,2767.0,0.000918555,0,0.0,-0.002880385,0.0,0.0,0.0,0.0,0.0,,,,,,
2016.0,summer,Greece,GRE,10776000.0,22574.0,0.00806287,0,6.0,0.006661434,0.006661434,6.374992126,-0.374992126,38.9953683,21.9877132,,,,,,
2016.0,summer,0,COM,795597.0,1702.0,0.000408247,0,0.0,-0.003593015,0.0,0.0,0.0,0.0,0.0,,,,,,
2016.0,summer,Azerbaijan,AZE,9757810.0,16645.0,0.00704225,0,18.0,0.005468334,0.005468334,5.233195334,12.76680467,40.3936294,47.7872508,,,,,,
2016.0,summer,Portugal,POR,10325500.0,25346.0,0.00847112,0,1.0,0.007101144,0.007101144,6.795795117,-5.795795117,40.0332629,-7.8896263,,,,,,
2016.0,summer,Iraq,IRQ,36610600.0,13898.0,0.000510308,0,0.0,-0.003423511,0.0,0.0,0.0,33.0955793,44.1749775,,,,,,
2016.0,summer,Angola,ANG,28842500.0,8453.0,0.00112268,0,0.0,-0.002383484,0.0,0.0,0.0,-11.8775768,17.5691241,,,,,,
2016.0,summer,Cambodia,CAM,15766300.0,3251.0,0.00061237,0,0.0,-0.00309642,0.0,0.0,0.0,13.5066394,104.869423,,,,,,
2016.0,summer,Egypt,EGY,94447100.0,11351.0,0.0102062,0,3.0,0.011965009,0.011965009,11.45051366,-8.450513662,26.2540493,29.2675469,,,,,,
2016.0,summer,Bangladesh,BAN,157977000.0,3604.0,0.000714432,0,0.0,-0.000294709,0.0,0.0,0.0,24.4768783,90.2932426,,,,,,
2016.0,summer,Iceland,ISL,335439.0,42085.0,0.00142886,0,0.0,-0.004270759,0.0,0.0,0.0,64.9841821,-18.1059013,,,,,,
2016.0,summer,Moldova,MDA,2802170.0,6068.0,0.00234742,0,0.0,-0.000955722,0.0,0.0,0.0,47.2879608,28.5670941,,,,,,
2016.0,summer,Paraguay,PAR,6777880.0,8786.0,0.00112268,0,0.0,-0.002815789,0.0,0.0,0.0,-23.3165935,-58.1693445,,,,,,
2016.0,summer,Ireland,IRL,4755340.0,56597.0,0.00765462,0,2.0,0.004131869,0.004131869,3.954198327,-1.954198327,52.865196,-7.9794599,,,,,,
2016.0,summer,Philippines,PHI,103664000.0,7410.0,0.0013268,0,1.0,-0.00062392,0.0,0.0,1.0,12.7503486,122.7312101,,,,,,
2016.0,summer,Myanmar,MYA,53045200.0,5284.0,0.000816493,0,0.0,-0.002206649,0.0,0.0,0.0,17.1750495,95.9999652,,,,,,
2016.0,summer,Mozambique,MOZ,27829900.0,1113.0,0.000714432,0,0.0,-0.002606318,0.0,0.0,0.0,-19.302233,34.9144977,,,,,,
2016.0,summer,Thailand,THA,68971300.0,15454.0,0.00561339,0,6.0,0.004556813,0.004556813,4.360870398,1.639129602,14.8971921,100.83273,,,,,,
2016.0,summer,Central African Republic,CAF,4537680.0,589.0,0.00061237,0,0.0,-0.003164954,0.0,0.0,0.0,7.0323598,19.9981227,,,,,,
2016.0,summer,Austria,AUT,8736670.0,41445.0,0.00755256,0,1.0,0.004868082,0.004868082,4.658754009,-3.658754009,47.2000338,13.199959,,,,,,
2016.0,summer,Peru,PER,30926000.0,11776.0,0.0034701,0,0.0,0.0009075,0.0009075,0.868477399,-0.868477399,-6.8699697,-75.0458515,,,,,,
2016.0,summer,Slovakia,SVK,5430800.0,25364.0,0.00581751,0,4.0,0.003131283,0.003131283,2.996637699,1.003362301,48.7411522,19.4528646,,,,,,
2016.0,summer,Israel,ISR,8546000.0,31701.0,0.00551133,0,2.0,0.002403483,0.002403483,2.300133351,-0.300133351,31.5313113,34.8667654,,,,,,
2016.0,summer,Panama,PAN,4037070.0,21449.0,0.00142886,0,0.0,-0.003097332,0.0,0.0,0.0,8.559559,-81.1308434,,,,,,
2016.0,summer,Singapore,SGP,5607280.0,65729.0,0.00295979,0,1.0,-0.003199821,0.0,0.0,1.0,1.357107,103.8194992,,,,,,
2016.0,summer,Mauritania,MTN,4163530.0,3407.0,0.000204123,0,0.0,-0.00391918,0.0,0.0,0.0,20.2540382,-9.2399263,,,,,,
2016.0,summer,Guatemala,GUA,15827700.0,7221.0,0.00255154,0,0.0,-0.00047449,0.0,0.0,0.0,15.6356088,-89.8988087,,,,,,
2016.0,summer,0,TJK,8663580.0,3991.0,0.000714432,0,1.0,-0.003120319,0.0,0.0,1.0,0.0,0.0,,,,,,
2016.0,summer,Lithuania,LTU,2868230.0,24743.0,0.00765462,0,4.0,0.005800399,0.005800399,5.550981767,-1.550981767,55.3500003,23.7499997,,,,,,
2016.0,summer,Niger,NIG,20788800.0,925.0,0.00061237,0,1.0,-0.002877645,0.0,0.0,1.0,17.7356214,9.3238432,,,,,,
2016.0,summer,Italy,ITA,60627500.0,33419.0,0.028169,0,28.0,0.036393026,0.036393026,34.8281261,-6.828126103,42.6384261,12.674297,,,,,,
2016.0,summer,Ethiopia,ETH,103603000.0,1635.0,0.00387834,0,8.0,0.003411684,0.003411684,3.264981385,4.735018615,10.2116702,38.6521203,,,,,,
2016.0,summer,Colombia,COL,48175000.0,13326.0,0.0111247,0,8.0,0.012332058,0.012332058,11.80177988,-3.801779882,2.8894434,-73.783892,,,,,,
2016.0,summer,0,TKM,5662370.0,23813.0,0.000918555,0,0.0,-0.003938819,0.0,0.0,0.0,0.0,0.0,,,,,,
