Country,NOC,Year,Season,Host,athlete_count_x,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,athlete_count_y,olympic_total,medal_share,athlete_share,Lattitude,Longitude
99,IRQ,1964,Summer,0,16,8122199,4965,0,0,0,0,4991,335,0,0.00320577,,
100,ISL,1964,Summer,0,5,188983,13386,0,0,0,0,4991,335,0,0.001001803,,
101,ISR,1964,Summer,0,13,2475000,9430,0,0,0,0,4991,335,0,0.002604688,,
102,ITA,1964,Summer,0,185,51675350,11934,10,10,7,27,4991,335,0.080597015,0.03706672,,
103,JAM,1964,Summer,0,23,1730739,4629,0,0,0,0,4991,335,0,0.004608295,,
104,JPN,1964,Summer,1,326,96903000,9035,16,5,8,29,4991,335,0.086567164,0.065317572,,
105,KEN,1964,Summer,0,26,9222692,1208,0,0,1,1,4991,335,0.002985075,0.005209377,,
106,KOR,1964,Summer,0,181,27984155,1834.98,0,2,1,3,4991,335,0.008955224,0.036265277,,
107,LBR,1964,Summer,0,2,1217905,3679,0,0,0,0,4991,335,0,0.000400721,,
108,LUX,1964,Summer,0,27,327750,17864,0,0,0,0,4991,335,0,0.005409738,,
109,MAD,1964,Summer,0,4,5625164,1779,0,0,0,0,4991,335,0,0.000801443,,
110,MAR,1964,Summer,0,10,13857656,2201,0,0,0,0,4991,335,0,0.002003606,,
111,MAS,1964,Summer,0,53,9253827,2754,0,0,0,0,4991,335,0,0.010619114,,
112,MEX,1964,Summer,0,97,42771077,5555,0,0,1,1,4991,335,0.002985075,0.019434983,,
113,MGL,1964,Summer,0,37,1074518,1027,0,0,0,0,4991,335,0,0.007413344,,
114,MLI,1964,Summer,0,2,5503750,888,0,0,0,0,4991,335,0,0.000400721,,
115,MYA,1964,Summer,0,12,23717785,976,0,0,0,0,4991,335,0,0.002404328,,
116,NED,1964,Summer,0,86,12127120,15042,2,4,4,10,4991,335,0.029850746,0.017231016,,
117,NEP,1964,Summer,0,6,10783958,1012,0,0,0,0,4991,335,0,0.001202164,,
118,NGR,1964,Summer,0,15,49066762,1451,0,0,1,1,4991,335,0.002985075,0.00300541,,
119,NIG,1964,Summer,0,1,3802802,1415,0,0,0,0,4991,335,0,0.000200361,,
120,NOR,1964,Summer,0,38,3694339,13256,0,0,0,0,4991,335,0,0.007613705,,
121,NZL,1964,Summer,0,65,2585400,16606,3,0,2,5,4991,335,0.014925373,0.013023442,,
122,PAK,1964,Summer,0,29,49627623,1208,0,1,0,1,4991,335,0.002985075,0.005810459,,
123,PAN,1964,Summer,0,12,1276331,3929,0,0,0,0,4991,335,0,0.002404328,,
124,PER,1964,Summer,0,37,11383364,5523,0,0,0,0,4991,335,0,0.007413344,,
125,PHI,1964,Summer,0,61,29958687,2550,0,1,0,1,4991,335,0.002985075,0.012222,,
126,POL,1964,Summer,0,188,31139450,5773,7,6,10,23,4991,335,0.068656716,0.037667802,,
127,POR,1964,Summer,0,24,9035365,5926,0,0,0,0,4991,335,0,0.004808656,,
128,PUR,1964,Summer,0,45,2554066,7012,0,0,0,0,4991,335,0,0.009016229,,
129,ROU,1964,Summer,0,154,18919126,2098,2,4,6,12,4991,335,0.035820896,0.03085554,,
130,SEN,1964,Summer,0,8,3580241,2389,0,0,0,0,4991,335,0,0.001602885,,
131,SRI,1964,Summer,0,7,10849977,2104,0,0,0,0,4991,335,0,0.001402525,,
132,SUI,1964,Summer,0,108,5789228,19195.45,1,2,1,4,4991,335,0.011940299,0.02163895,,
133,SWE,1964,Summer,0,143,7661354,16761,2,2,4,8,4991,335,0.023880597,0.028651573,,
134,TAN,1964,Summer,0,4,11295675,787,0,0,0,0,4991,335,0,0.000801443,,
135,THA,1964,Summer,0,53,30881136,1991,0,0,0,0,4991,335,0,0.010619114,,
136,TTO,1964,Summer,0,14,902620,10841,0,1,2,3,4991,335,0.008955224,0.002805049,,
137,TUN,1964,Summer,0,12,4461111,2533,0,1,1,2,4991,335,0.005970149,0.002404328,,
138,TUR,1964,Summer,0,24,30244258,3453,2,3,1,6,4991,335,0.017910448,0.004808656,,
139,UGA,1964,Summer,0,16,7719108,1251,0,0,0,0,4991,335,0,0.00320577,,
140,USA,1964,Summer,0,364,191889000,20360,36,26,28,90,4991,335,0.268656716,0.072931276,,
141,VEN,1964,Summer,0,19,9369101,14019,0,0,0,0,4991,335,0,0.003806852,,
142,ZIM,1964,Summer,0,18,4322854,1519,0,0,0,0,4991,335,0,0.003606492,,
143,AFG,1968,Summer,0,5,10637064,1290,0,0,0,0,5085,358,0,0.000983284,,
144,ALG,1968,Summer,0,9,13663581,3151,0,0,0,0,5085,358,0,0.001769912,,
145,ARG,1968,Summer,0,87,23168268,10485,0,0,2,2,5085,358,0.005586592,0.017109145,,
146,AUS,1968,Summer,0,171,12009000,17770,5,7,5,17,5085,358,0.047486034,0.033628319,,
147,AUT,1968,Summer,0,49,7415403,13742,0,2,2,4,5085,358,0.011173184,0.009636185,,
148,BAR,1968,Summer,0,13,237241,8429,0,0,0,0,5085,358,0,0.002556539,,
149,BEL,1968,Summer,0,73,9618756,15009,0,1,1,2,5085,358,0.005586592,0.014355949,,
150,BOL,1968,Summer,0,4,4297522,3314,0,0,0,0,5085,358,0,0.000786627,,
151,BRA,1968,Summer,0,44,90387079,4050,0,1,2,3,5085,358,0.008379888,0.008652901,,
152,BUL,1968,Summer,0,149,8369603,6963,2,4,3,9,5085,358,0.025139665,0.029301868,,
153,CAF,1968,Summer,0,1,1744198,1435,0,0,0,0,5085,358,0,0.000196657,,
154,CAN,1968,Summer,0,238,20744000,18297,1,3,1,5,5085,358,0.01396648,0.046804326,,
155,CHA,1968,Summer,0,4,3499370,843,0,0,0,0,5085,358,0,0.000786627,,
156,CHI,1968,Summer,0,23,118725,8053,0,0,0,0,5085,358,0,0.004523107,,
157,CHI,1968,Summer,0,23,9468851,8053,0,0,0,0,5085,358,0,0.004523107,,
158,CIV,1968,Summer,0,7,4713134,2758,0,0,0,0,5085,358,0,0.001376598,,
159,CMR,1968,Summer,0,5,6201410,1508,0,1,0,1,5085,358,0.002793296,0.000983284,,
160,COD,1968,Summer,0,5,18913874,1189,0,0,0,0,5085,358,0,0.000983284,,
161,COL,1968,Summer,0,45,20393704,4581,0,0,0,0,5085,358,0,0.008849558,,
162,CRC,1968,Summer,0,24,1747690,5574,0,0,0,0,5085,358,0,0.004719764,,
163,CUB,1968,Summer,0,182,8413549,3229,0,4,0,4,5085,358,0.011173184,0.035791544,,
164,DEN,1968,Summer,0,77,4864883,18868,1,4,3,8,5085,358,0.022346369,0.015142576,,
165,DOM,1968,Summer,0,18,4247559,2150,0,0,0,0,5085,358,0,0.003539823,,
166,ECU,1968,Summer,0,38,5725462,4264,0,0,0,0,5085,358,0,0.00747296,,
167,EGY,1968,Summer,0,22,32881852,1827,0,0,0,0,5085,358,0,0.00432645,,
168,ESA,1968,Summer,0,74,3481624,3524,0,0,0,0,5085,358,0,0.014552606,,
169,ESP,1968,Summer,0,77,33113134,8606,0,0,0,0,5085,358,0,0.015142576,,
170,ETH,1968,Summer,0,23,26944386,902,1,1,0,2,5085,358,0.005586592,0.004523107,,
171,FIN,1968,Summer,0,112,4626469,12900,1,2,1,4,5085,358,0.011173184,0.022025565,,
172,FRA,1968,Summer,0,214,51175507,16365,7,3,5,15,5085,358,0.041899441,0.042084562,,
173,GBR,1968,Summer,0,250,55211700,16593,5,5,3,13,5085,358,0.036312849,0.049164208,,
174,GHA,1968,Summer,0,18,8321773,2101,0,0,0,0,5085,358,0,0.003539823,,
175,GRE,1968,Summer,0,33,8740765,8394,0,0,1,1,5085,358,0.002793296,0.006489676,,
176,GUA,1968,Summer,0,46,5184095,4385,0,0,0,0,5085,358,0,0.009046214,,
177,GUI,1968,Summer,0,1,4013050,776,0,0,0,0,5085,358,0,0.000196657,,
178,HKG,1968,Summer,0,24,3802700,7696,0,0,0,0,5085,358,0,0.004719764,,
179,HON,1968,Summer,0,6,2560723,2463,0,0,0,0,5085,358,0,0.001179941,,
180,HUN,1968,Summer,0,220,10255815,7865,10,10,12,32,5085,358,0.089385475,0.043264503,,
181,INA,1968,Summer,0,5,108779926,1580,0,0,0,0,5085,358,0,0.000983284,,
182,IND,1968,Summer,0,12,531513834,1290,0,0,1,1,5085,358,0.002793296,0.002359882,,
183,IRL,1968,Summer,0,44,2915550,9197,0,0,0,0,5085,358,0,0.008652901,,
184,IRQ,1968,Summer,0,4,9260687,5745,0,0,0,0,5085,358,0,0.000786627,,
185,ISL,1968,Summer,0,16,201488,13648,0,0,0,0,5085,358,0,0.003146509,,
186,ISR,1968,Summer,0,23,2803000,11210,0,0,0,0,5085,358,0,0.004523107,,
187,ITA,1968,Summer,0,204,53235750,14513,3,4,9,16,5085,358,0.044692737,0.040117994,,
188,JAM,1968,Summer,0,28,1825873,5235,0,1,0,1,5085,358,0.002793296,0.005506391,,
189,JPN,1968,Summer,0,197,101011000,12725,11,7,7,25,5085,358,0.069832402,0.038741396,,
190,KEN,1968,Summer,0,34,10539909,1366,3,4,2,9,5085,358,0.025139665,0.006686332,,
191,KOR,1968,Summer,0,57,30838302,2468.48,0,1,1,2,5085,358,0.005586592,0.01120944,,
192,LBA,1968,Summer,0,1,1958909,6071,0,0,0,0,5085,358,0,0.000196657,,
193,LUX,1968,Summer,0,7,335850,18774,0,0,0,0,5085,358,0,0.001376598,,
194,MAD,1968,Summer,0,6,6234468,1871,0,0,0,0,5085,358,0,0.001179941,,
195,MAR,1968,Summer,0,25,15307267,2429,0,0,0,0,5085,358,0,0.004916421,,
196,MAS,1968,Summer,0,16,10297983,3096,0,0,0,0,5085,358,0,0.003146509,,
197,MEX,1968,Summer,1,305,48431971,6432,3,3,3,9,5085,358,0.025139665,0.059980334,,
198,MGL,1968,Summer,0,38,1207104,1154,0,1,3,4,5085,358,0.011173184,0.00747296,,
