,NOC,Year,Season,Host,athlete_count_x,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,athlete_count_y,olympic_total,medal_share,athlete_share
105,KEN,1964,Summer,0,26,9222692.0,1208.0,0.0,0.0,1.0,1.0,4991,335.0,0.0029850746268656717,0.005209376878381086
106,KOR,1964,Summer,0,181,27984155.0,1834.98,0.0,2.0,1.0,3.0,4991,335.0,0.008955223880597015,0.0362652774994991
107,LBR,1964,Summer,0,2,1217905.0,3679.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0004007212983370066
108,LUX,1964,Summer,0,27,327750.0,17864.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0054097375275495895
109,MAD,1964,Summer,0,4,5625164.0,1779.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0008014425966740132
110,MAR,1964,Summer,0,10,13857656.0,2201.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.002003606491685033
111,MAS,1964,Summer,0,53,9253827.0,2754.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.010619114405930675
112,MEX,1964,Summer,0,97,42771077.0,5555.0,0.0,0.0,1.0,1.0,4991,335.0,0.0029850746268656717,0.01943498296934482
113,MGL,1964,Summer,0,37,1074518.0,1027.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.007413344019234622
114,MLI,1964,Summer,0,2,5503750.0,888.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0004007212983370066
115,MYA,1964,Summer,0,12,23717785.0,976.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0024043277900220395
116,NED,1964,Summer,0,86,12127120.0,15042.0,2.0,4.0,4.0,10.0,4991,335.0,0.029850746268656716,0.017231015828491285
117,NEP,1964,Summer,0,6,10783958.0,1012.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0012021638950110197
118,NGR,1964,Summer,0,15,49066762.0,1451.0,0.0,0.0,1.0,1.0,4991,335.0,0.0029850746268656717,0.0030054097375275496
119,NIG,1964,Summer,0,1,3802802.0,1415.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0002003606491685033
120,NOR,1964,Summer,0,38,3694339.0,13256.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.007613704668403126
121,NZL,1964,Summer,0,65,2585400.0,16606.0,3.0,0.0,2.0,5.0,4991,335.0,0.014925373134328358,0.013023442195952716
122,PAK,1964,Summer,0,29,49627623.0,1208.0,0.0,1.0,0.0,1.0,4991,335.0,0.0029850746268656717,0.005810458825886596
123,PAN,1964,Summer,0,12,1276331.0,3929.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0024043277900220395
124,PER,1964,Summer,0,37,11383364.0,5523.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.007413344019234622
125,PHI,1964,Summer,0,61,29958687.0,2550.0,0.0,1.0,0.0,1.0,4991,335.0,0.0029850746268656717,0.012221999599278702
126,POL,1964,Summer,0,188,31139450.0,5773.0,7.0,6.0,10.0,23.0,4991,335.0,0.06865671641791045,0.03766780204367862
127,POR,1964,Summer,0,24,9035365.0,5926.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.004808655580044079
128,PUR,1964,Summer,0,45,2554066.0,7012.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.009016229212582648
129,ROU,1964,Summer,0,154,18919126.0,2098.0,2.0,4.0,6.0,12.0,4991,335.0,0.03582089552238806,0.030855539971949508
130,SEN,1964,Summer,0,8,3580241.0,2389.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0016028851933480265
131,SRI,1964,Summer,0,7,10849977.0,2104.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.001402524544179523
132,SUI,1964,Summer,0,108,5789228.0,19195.45,1.0,2.0,1.0,4.0,4991,335.0,0.011940298507462687,0.021638950110198358
133,SWE,1964,Summer,0,143,7661354.0,16761.0,2.0,2.0,4.0,8.0,4991,335.0,0.023880597014925373,0.028651572831095973
134,TAN,1964,Summer,0,4,11295675.0,787.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0008014425966740132
135,THA,1964,Summer,0,53,30881136.0,1991.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.010619114405930675
136,TTO,1964,Summer,0,14,902620.0,10841.0,0.0,1.0,2.0,3.0,4991,335.0,0.008955223880597015,0.002805049088359046
137,TUN,1964,Summer,0,12,4461111.0,2533.0,0.0,1.0,1.0,2.0,4991,335.0,0.005970149253731343,0.0024043277900220395
138,TUR,1964,Summer,0,24,30244258.0,3453.0,2.0,3.0,1.0,6.0,4991,335.0,0.01791044776119403,0.004808655580044079
139,UGA,1964,Summer,0,16,7719108.0,1251.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.003205770386696053
140,USA,1964,Summer,0,364,191889000.0,20360.0,36.0,26.0,28.0,90.0,4991,335.0,0.26865671641791045,0.0729312762973352
141,VEN,1964,Summer,0,19,9369101.0,14019.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.003806852334201563
142,ZIM,1964,Summer,0,18,4322854.0,1519.0,0.0,0.0,0.0,0.0,4991,335.0,0.0,0.0036064916850330597
143,AFG,1968,Summer,0,5,10637064.0,1290.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0009832841691248771
144,ALG,1968,Summer,0,9,13663581.0,3151.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0017699115044247787
145,ARG,1968,Summer,0,87,23168268.0,10485.0,0.0,0.0,2.0,2.0,5085,358.0,0.00558659217877095,0.01710914454277286
146,AUS,1968,Summer,0,171,12009000.0,17770.0,5.0,7.0,5.0,17.0,5085,358.0,0.04748603351955307,0.033628318584070796
147,AUT,1968,Summer,0,49,7415403.0,13742.0,0.0,2.0,2.0,4.0,5085,358.0,0.0111731843575419,0.009636184857423796
148,BAR,1968,Summer,0,13,237241.0,8429.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0025565388397246805
149,BEL,1968,Summer,0,73,9618756.0,15009.0,0.0,1.0,1.0,2.0,5085,358.0,0.00558659217877095,0.014355948869223206
150,BOL,1968,Summer,0,4,4297522.0,3314.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0007866273352999017
151,BRA,1968,Summer,0,44,90387079.0,4050.0,0.0,1.0,2.0,3.0,5085,358.0,0.008379888268156424,0.008652900688298918
152,BUL,1968,Summer,0,149,8369603.0,6963.0,2.0,4.0,3.0,9.0,5085,358.0,0.025139664804469275,0.029301868239921338
153,CAF,1968,Summer,0,1,1744198.0,1435.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00019665683382497542
154,CAN,1968,Summer,0,238,20744000.0,18297.0,1.0,3.0,1.0,5.0,5085,358.0,0.013966480446927373,0.04680432645034415
155,CHA,1968,Summer,0,4,3499370.0,843.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0007866273352999017
156,CHI,1968,Summer,0,23,118725.0,8053.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.004523107177974435
157,CHI,1968,Summer,0,23,9468851.0,8053.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.004523107177974435
158,CIV,1968,Summer,0,7,4713134.0,2758.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0013765978367748278
159,CMR,1968,Summer,0,5,6201410.0,1508.0,0.0,1.0,0.0,1.0,5085,358.0,0.002793296089385475,0.0009832841691248771
160,COD,1968,Summer,0,5,18913874.0,1189.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0009832841691248771
161,COL,1968,Summer,0,45,20393704.0,4581.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.008849557522123894
162,CRC,1968,Summer,0,24,1747690.0,5574.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00471976401179941
163,CUB,1968,Summer,0,182,8413549.0,3229.0,0.0,4.0,0.0,4.0,5085,358.0,0.0111731843575419,0.03579154375614552
164,DEN,1968,Summer,0,77,4864883.0,18868.0,1.0,4.0,3.0,8.0,5085,358.0,0.0223463687150838,0.015142576204523106
165,DOM,1968,Summer,0,18,4247559.0,2150.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0035398230088495575
166,ECU,1968,Summer,0,38,5725462.0,4264.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.007472959685349066
167,EGY,1968,Summer,0,22,32881852.0,1827.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.004326450344149459
168,ESA,1968,Summer,0,74,3481624.0,3524.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.01455260570304818
169,ESP,1968,Summer,0,77,33113134.0,8606.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.015142576204523106
170,ETH,1968,Summer,0,23,26944386.0,902.0,1.0,1.0,0.0,2.0,5085,358.0,0.00558659217877095,0.004523107177974435
171,FIN,1968,Summer,0,112,4626469.0,12900.0,1.0,2.0,1.0,4.0,5085,358.0,0.0111731843575419,0.022025565388397245
172,FRA,1968,Summer,0,214,51175507.0,16365.0,7.0,3.0,5.0,15.0,5085,358.0,0.04189944134078212,0.04208456243854474
173,GBR,1968,Summer,0,250,55211700.0,16593.0,5.0,5.0,3.0,13.0,5085,358.0,0.036312849162011177,0.049164208456243856
174,GHA,1968,Summer,0,18,8321773.0,2101.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0035398230088495575
175,GRE,1968,Summer,0,33,8740765.0,8394.0,0.0,0.0,1.0,1.0,5085,358.0,0.002793296089385475,0.006489675516224189
176,GUA,1968,Summer,0,46,5184095.0,4385.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00904621435594887
177,GUI,1968,Summer,0,1,4013050.0,776.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00019665683382497542
178,HKG,1968,Summer,0,24,3802700.0,7696.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00471976401179941
179,HON,1968,Summer,0,6,2560723.0,2463.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0011799410029498525
180,HUN,1968,Summer,0,220,10255815.0,7865.0,10.0,10.0,12.0,32.0,5085,358.0,0.0893854748603352,0.043264503441494594
181,INA,1968,Summer,0,5,108779926.0,1580.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0009832841691248771
182,IND,1968,Summer,0,12,531513834.0,1290.0,0.0,0.0,1.0,1.0,5085,358.0,0.002793296089385475,0.002359882005899705
183,IRL,1968,Summer,0,44,2915550.0,9197.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.008652900688298918
184,IRQ,1968,Summer,0,4,9260687.0,5745.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0007866273352999017
185,ISL,1968,Summer,0,16,201488.0,13648.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.003146509341199607
186,ISR,1968,Summer,0,23,2803000.0,11210.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.004523107177974435
187,ITA,1968,Summer,0,204,53235750.0,14513.0,3.0,4.0,9.0,16.0,5085,358.0,0.0446927374301676,0.040117994100294985
188,JAM,1968,Summer,0,28,1825873.0,5235.0,0.0,1.0,0.0,1.0,5085,358.0,0.002793296089385475,0.005506391347099311
189,JPN,1968,Summer,0,197,101011000.0,12725.0,11.0,7.0,7.0,25.0,5085,358.0,0.06983240223463687,0.038741396263520154
190,KEN,1968,Summer,0,34,10539909.0,1366.0,3.0,4.0,2.0,9.0,5085,358.0,0.025139664804469275,0.006686332350049164
191,KOR,1968,Summer,0,57,30838302.0,2468.48,0.0,1.0,1.0,2.0,5085,358.0,0.00558659217877095,0.011209439528023599
192,LBA,1968,Summer,0,1,1958909.0,6071.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00019665683382497542
193,LUX,1968,Summer,0,7,335850.0,18774.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0013765978367748278
194,MAD,1968,Summer,0,6,6234468.0,1871.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0011799410029498525
195,MAR,1968,Summer,0,25,15307267.0,2429.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.004916420845624385
196,MAS,1968,Summer,0,16,10297983.0,3096.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.003146509341199607
197,MEX,1968,Summer,1,305,48431971.0,6432.0,3.0,3.0,3.0,9.0,5085,358.0,0.025139664804469275,0.0599803343166175
198,MGL,1968,Summer,0,38,1207104.0,1154.0,0.0,1.0,3.0,4.0,5085,358.0,0.0111731843575419,0.007472959685349066
199,MLI,1968,Summer,0,2,5780836.0,923.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00039331366764995085
200,MLT,1968,Summer,0,1,307900.0,3309.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00019665683382497542
201,MYA,1968,Summer,0,4,26015239.0,976.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.0007866273352999017
202,NCA,1968,Summer,0,16,2264623.0,4419.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.003146509341199607
203,NED,1968,Summer,0,86,12729721.0,17365.0,3.0,3.0,1.0,7.0,5085,358.0,0.019553072625698324,0.016912487708947887
204,NGR,1968,Summer,0,22,53506201.0,1114.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.004326450344149459
205,NIG,1968,Summer,0,2,4263925.0,1398.0,0.0,0.0,0.0,0.0,5085,358.0,0.0,0.00039331366764995085
206,NOR,1968,Summer,0,73,3816486.0,15224.0,1.0,1.0,0.0,2.0,5085,358.0,0.00558659217877095,0.014355948869223206
