NOC,Year,Medal_Bronze,Medal_Silver,Medal_Gold
PRK,2006,0,0,0
PRK,2010,0,0,0
PUR,1984,0,0,0
PUR,1988,0,0,0
PUR,1992,0,0,0
PUR,1994,0,0,0
PUR,1998,0,0,0
ROU,1928,0,0,0
ROU,1932,0,0,0
ROU,1936,0,0,0
ROU,1948,0,0,0
ROU,1952,0,0,0
ROU,1956,0,0,0
ROU,1964,0,0,0
ROU,1968,0,0,0
ROU,1972,0,0,0
ROU,1976,0,0,0
ROU,1980,0,0,0
ROU,1984,0,0,0
ROU,1988,0,0,0
ROU,1992,0,0,0
ROU,1994,0,0,0
ROU,1998,0,0,0
ROU,2002,0,0,0
ROU,2006,0,0,0
ROU,2010,0,0,0
ROU,2014,0,0,0
RSA,1960,0,0,0
RSA,1994,0,0,0
RSA,1998,0,0,0
RSA,2002,0,0,0
RSA,2006,0,0,0
RSA,2010,0,0,0
RUS,1994,4,10,13
RUS,1998,3,8,11
RUS,2002,4,5,6
RUS,2006,8,5,10
RUS,2010,7,5,3
RUS,2014,10,12,12
SCG,1998,0,0,0
SCG,2002,0,0,0
SCG,2006,0,0,0
SEN,1984,0,0,0
SEN,1992,0,0,0
SEN,1994,0,0,0
SEN,2006,0,0,0
SEN,2010,0,0,0
SLO,1992,0,0,0
SLO,1994,3,0,0
SLO,1998,0,0,0
SLO,2002,1,0,0
SLO,2006,0,0,0
SLO,2010,1,2,0
SLO,2014,4,2,2
SMR,1976,0,0,0
SMR,1984,0,0,0
SMR,1988,0,0,0
SMR,1992,0,0,0
SMR,1994,0,0,0
SMR,2002,0,0,0
SMR,2006,0,0,0
SMR,2010,0,0,0
SMR,2014,0,0,0
SRB,2010,0,0,0
SRB,2014,0,0,0
SUI,1924,1,0,4
SUI,1928,1,0,0
SUI,1932,0,1,0
SUI,1936,0,2,0
SUI,1948,3,4,2
SUI,1952,0,0,0
SUI,1956,0,2,3
SUI,1960,0,0,2
SUI,1964,0,0,0
SUI,1968,4,2,0
SUI,1972,2,3,3
SUI,1976,1,3,1
SUI,1980,3,1,1
SUI,1984,0,2,2
SUI,1988,5,5,4
SUI,1992,2,0,1
SUI,1994,2,3,3
SUI,1998,3,1,6
SUI,2002,9,6,3
SUI,2006,4,7,5
SUI,2010,6,0,6
SUI,2014,2,3,6
SVK,1994,0,0,0
SVK,1998,0,0,0
SVK,2002,0,0,0
SVK,2006,0,1,0
SVK,2010,1,1,1
SVK,2014,0,0,1
SWE,1924,0,8,1
SWE,1928,1,2,2
SWE,1932,0,2,1
SWE,1936,3,2,2
SWE,1948,3,3,4
SWE,1952,4,0,0
SWE,1956,4,4,2
SWE,1960,2,2,3
SWE,1964,1,3,3
SWE,1968,3,2,3
SWE,1972,2,1,1
SWE,1976,2,0,0
SWE,1980,1,0,3
SWE,1984,2,2,4
SWE,1988,2,0,4
SWE,1992,3,0,1
SWE,1994,0,1,2
SWE,1998,5,2,0
SWE,2002,5,2,0
SWE,2006,5,2,10
SWE,2010,4,2,8
SWE,2014,9,10,2
SWZ,1992,0,0,0
TCH,1924,0,0,0
TCH,1928,1,0,0
TCH,1932,0,0,0
TCH,1936,0,0,0
TCH,1948,0,1,0
TCH,1952,0,0,0
