NOC,Year,winter_athlete_count
GRE,1976,10
GRE,1980,6
GRE,1984,13
GRE,1988,15
GRE,1992,23
GRE,1994,14
GRE,1998,12
GRE,2002,16
GRE,2006,8
GRE,2010,12
GRE,2014,13
GUA,1988,15
GUM,1988,1
HKG,2002,5
HKG,2006,3
HKG,2010,3
HKG,2014,1
HON,1992,3
HUN,1924,6
HUN,1928,7
HUN,1932,4
HUN,1936,17
HUN,1948,43
HUN,1952,21
HUN,1956,2
HUN,1960,4
HUN,1964,24
HUN,1968,21
HUN,1972,1
HUN,1976,3
HUN,1980,2
HUN,1984,13
HUN,1988,7
HUN,1992,57
HUN,1994,24
HUN,1998,21
HUN,2002,41
HUN,2006,28
HUN,2010,29
HUN,2014,33
IND,1924,7
IND,1964,1
IND,1968,3
IND,1988,3
IND,1992,4
IND,1998,1
IND,2002,1
IND,2006,5
IND,2010,3
IND,2014,2
IOA,2014,1
IRI,1956,9
IRI,1964,12
IRI,1968,12
IRI,1972,12
IRI,1976,12
IRI,1998,1
IRI,2002,2
IRI,2006,3
IRI,2010,7
IRI,2014,7
IRL,1992,1
IRL,1998,4
IRL,2002,8
IRL,2006,5
IRL,2010,6
IRL,2014,8
ISL,1948,8
ISL,1952,21
ISL,1956,14
ISL,1960,10
ISL,1964,10
ISL,1968,8
ISL,1976,16
ISL,1980,12
ISL,1984,10
ISL,1988,6
ISL,1992,15
ISL,1994,14
ISL,1998,12
ISL,2002,12
ISL,2006,12
ISL,2010,7
ISL,2014,11
ISR,1994,1
ISR,1998,3
ISR,2002,7
ISR,2006,6
ISR,2010,4
ISR,2014,6
ISV,1988,4
ISV,1992,9
ISV,1994,4
ISV,1998,3
ISV,2002,4
ISV,2014,2
ITA,1924,15
ITA,1928,12
ITA,1932,14
ITA,1936,26
ITA,1948,52
ITA,1952,39
ITA,1956,63
ITA,1960,55
ITA,1964,61
ITA,1968,63
ITA,1972,50
ITA,1976,75
ITA,1980,59
ITA,1984,76
ITA,1988,83
ITA,1992,127
ITA,1994,136
ITA,1998,132
ITA,2002,168
ITA,2006,203
ITA,2010,171
ITA,2014,182
IVB,1984,2
IVB,2014,1
JAM,1988,2
JAM,1992,2
JAM,1994,2
JAM,1998,2
JAM,2002,1
JAM,2010,1
JAM,2014,1
JPN,1928,10
JPN,1932,33
JPN,1936,38
JPN,1952,25
JPN,1956,26
JPN,1960,54
JPN,1964,66
JPN,1968,72
JPN,1972,95
JPN,1976,60
JPN,1980,56
JPN,1984,62
JPN,1988,95
JPN,1992,115
JPN,1994,107
JPN,1998,170
JPN,2002,170
JPN,2006,159
JPN,2010,128
JPN,2014,122
KAZ,1994,65
KAZ,1998,78
KAZ,2002,74
KAZ,2006,64
KAZ,2010,86
KAZ,2014,98
KEN,1998,1
KEN,2002,2
KEN,2006,1
KGZ,1994,2
KGZ,1998,2
KGZ,2002,4
KGZ,2006,2
KGZ,2010,3
KGZ,2014,2
KOR,1948,7
KOR,1956,10
KOR,1960,20
KOR,1964,16
KOR,1968,14
KOR,1972,11
KOR,1976,9
KOR,1980,24
KOR,1984,38
KOR,1988,50
KOR,1992,48
KOR,1994,42
KOR,1998,67
KOR,2002,78
KOR,2006,73
KOR,2010,70
KOR,2014,100
LAT,1924,7
LAT,1928,3
LAT,1936,23
LAT,1992,24
LAT,1994,26
LAT,1998,37
LAT,2002,33
LAT,2006,53
LAT,2010,48
LAT,2014,43
LIB,1948,3
LIB,1952,3
LIB,1956,8
LIB,1960,5
LIB,1964,12
LIB,1968,6
LIB,1972,2
LIB,1976,1
LIB,1980,7
LIB,1984,8
LIB,1988,9
LIB,1992,8
LIB,2002,3
LIB,2006,7
LIB,2010,6
LIB,2014,3
LIE,1936,3
LIE,1948,13
LIE,1956,13
LIE,1960,9
LIE,1964,12
