NOC,Year,summer_athlete_count
CHI,2000,33
CHI,2004,26
CHI,2008,28
CHI,2012,40
CHI,2016,43
CHN,1932,2
CHN,1936,52
CHN,1948,23
CHN,1952,1
CHN,1984,232
CHN,1988,320
CHN,1992,314
CHN,1996,321
CHN,2000,292
CHN,2004,367
CHN,2008,444
CHN,2012,342
CHN,2016,360
CIV,1964,10
CIV,1968,7
CIV,1972,8
CIV,1976,8
CIV,1984,14
CIV,1988,10
CIV,1992,11
CIV,1996,9
CIV,2000,12
CIV,2004,5
CIV,2008,7
CIV,2012,10
CIV,2016,15
CMR,1964,2
CMR,1968,5
CMR,1972,15
CMR,1976,1
CMR,1980,26
CMR,1984,36
CMR,1988,21
CMR,1992,9
CMR,1996,13
CMR,2000,16
CMR,2004,16
CMR,2008,16
CMR,2012,16
CMR,2016,13
COD,1968,5
COD,1984,9
COD,1988,18
COD,1992,16
COD,1996,14
COD,2000,3
COD,2004,5
COD,2008,5
COD,2012,4
COD,2016,4
COK,1988,8
COK,1992,2
COK,1996,3
COK,2000,2
COK,2004,3
COK,2008,4
COK,2012,9
COK,2016,9
COL,1900,1
COL,1932,2
COL,1936,6
COL,1948,11
COL,1956,32
COL,1960,20
COL,1964,30
COL,1968,45
COL,1972,56
COL,1976,37
COL,1980,12
COL,1984,48
COL,1988,44
COL,1992,38
COL,1996,56
COL,2000,49
COL,2004,67
COL,2008,84
COL,2012,95
COL,2016,109
COM,1996,4
COM,2000,2
COM,2004,3
COM,2008,3
COM,2012,3
COM,2016,4
CPV,1996,3
CPV,2000,2
CPV,2004,3
CPV,2008,2
CPV,2012,3
CPV,2016,5
CRC,1936,1
CRC,1964,2
CRC,1968,24
CRC,1972,4
CRC,1976,10
CRC,1980,22
CRC,1984,16
CRC,1988,27
CRC,1992,20
CRC,1996,13
CRC,2000,9
CRC,2004,8
CRC,2008,8
CRC,2012,11
CRC,2016,11
CRO,1992,39
CRO,1996,72
CRO,2000,69
CRO,2004,64
CRO,2008,90
CRO,2012,75
CRO,2016,66
CRT,1906,11
CUB,1900,2
CUB,1904,5
CUB,1924,8
CUB,1928,1
CUB,1932,3
CUB,1948,98
CUB,1952,53
CUB,1956,16
CUB,1960,20
CUB,1964,67
CUB,1968,182
CUB,1972,133
CUB,1976,128
CUB,1980,184
CUB,1992,121
CUB,1996,120
CUB,2000,183
CUB,2004,133
CUB,2008,125
CUB,2012,108
CUB,2016,121
CYP,1980,13
CYP,1984,12
CYP,1988,10
CYP,1992,18
CYP,1996,20
CYP,2000,21
CYP,2004,21
CYP,2008,18
CYP,2012,13
CYP,2016,21
CZE,1996,142
CZE,2000,125
CZE,2004,152
CZE,2008,144
CZE,2012,134
CZE,2016,117
DEN,1896,15
DEN,1900,30
DEN,1906,36
DEN,1908,55
DEN,1912,117
DEN,1920,137
DEN,1924,131
DEN,1928,97
DEN,1932,83
DEN,1936,124
DEN,1948,182
DEN,1952,154
DEN,1956,38
DEN,1960,65
DEN,1964,54
DEN,1968,77
DEN,1972,100
DEN,1976,59
DEN,1980,42
DEN,1984,49
DEN,1988,95
DEN,1992,98
DEN,1996,85
DEN,2000,79
DEN,2004,77
DEN,2008,76
DEN,2012,91
DEN,2016,88
DJI,1984,3
DJI,1988,6
DJI,1992,8
DJI,1996,5
DJI,2000,2
DJI,2008,2
DJI,2012,4
DJI,2016,8
DMA,1996,6
DMA,2000,4
DMA,2004,2
DMA,2008,2
DMA,2012,2
DMA,2016,2
DOM,1964,1
DOM,1968,18
DOM,1972,5
DOM,1976,11
DOM,1980,7
DOM,1984,24
DOM,1988,17
DOM,1992,13
DOM,1996,16
DOM,2000,13
DOM,2004,22
DOM,2008,22
DOM,2012,22
DOM,2016,24
ECU,1924,4
ECU,1968,38
ECU,1972,4
ECU,1976,8
ECU,1980,13
ECU,1984,15
ECU,1988,15
ECU,1992,15
ECU,1996,21
ECU,2000,11
ECU,2004,18
ECU,2008,26
ECU,2012,36
ECU,2016,40
EGY,1906,5
EGY,1920,12
EGY,1924,19
EGY,1928,20
EGY,1936,46
EGY,1948,127
EGY,1952,148
EGY,1956,4
EGY,1964,49
EGY,1968,22
EGY,1972,26
EGY,1976,15
EGY,1984,106
EGY,1988,54
EGY,1992,37
EGY,1996,18
EGY,2000,73
EGY,2004,57
EGY,2008,78
EGY,2012,102
EGY,2016,100
ERI,2000,3
ERI,2004,5
ERI,2008,11
ERI,2012,12
ERI,2016,12
ESA,1932,4
ESA,1968,74
ESA,1972,15
ESA,1984,15
ESA,1988,7
ESA,1992,6
ESA,1996,10
ESA,2000,10
ESA,2004,9
ESA,2008,14
ESA,2012,11
ESA,2016,10
ESP,1900,7
ESP,1920,45
ESP,1924,89
ESP,1928,52
ESP,1932,8
ESP,1948,55
ESP,1952,27
ESP,1956,8
ESP,1960,191
ESP,1964,43
ESP,1968,77
ESP,1972,102
ESP,1976,107
ESP,1980,134
ESP,1984,189
ESP,1988,226
ESP,1992,342
ESP,1996,259
ESP,2000,293
ESP,2004,295
ESP,2008,264
ESP,2012,222
ESP,2016,236
EST,1920,20
EST,1924,37
EST,1928,23
EST,1932,3
EST,1936,36
EST,1992,39
EST,1996,46
EST,2000,37
EST,2004,44
EST,2008,51
EST,2012,36
EST,2016,46
ETH,1956,21
ETH,1960,12
ETH,1964,16
ETH,1968,23
ETH,1972,31
ETH,1980,42
ETH,1992,21
ETH,1996,19
ETH,2000,27
ETH,2004,27
ETH,2008,29
ETH,2012,34
ETH,2016,38
EUN,1992,473
FIJ,1956,5
FIJ,1960,3
FIJ,1968,1
FIJ,1972,4
FIJ,1976,5
FIJ,1984,26
FIJ,1988,41
FIJ,1992,36
FIJ,1996,15
FIJ,2000,9
FIJ,2004,9
FIJ,2008,6
FIJ,2012,9
FIJ,2016,14
FIN,1906,18
FIN,1908,64
FIN,1912,170
FIN,1920,99
FIN,1924,209
FIN,1928,125
FIN,1932,62
FIN,1936,163
FIN,1948,184
FIN,1952,327
FIN,1956,124
FIN,1960,180
FIN,1964,135
FIN,1968,112
FIN,1972,113
FIN,1976,89
FIN,1980,97
FIN,1984,97
FIN,1988,90
FIN,1992,111
FIN,1996,89
FIN,2000,81
FIN,2004,64
FIN,2008,66
FIN,2012,68
FIN,2016,63
FRA,1896,26
FRA,1900,941
FRA,1904,2
FRA,1906,154
FRA,1908,216
FRA,1912,170
FRA,1920,265
FRA,1924,515
FRA,1928,322
FRA,1932,141
FRA,1936,231
FRA,1948,331
FRA,1952,308
FRA,1956,180
FRA,1960,256
FRA,1964,162
FRA,1968,214
FRA,1972,268
FRA,1976,225
FRA,1980,154
FRA,1984,270
FRA,1988,306
FRA,1992,340
FRA,1996,333
FRA,2000,357
FRA,2004,342
FRA,2008,338
FRA,2012,313
FRA,2016,332
FRG,1968,324
FRG,1972,407
FRG,1976,329
FRG,1984,377
FRG,1988,351
FSM,2000,5
FSM,2004,5
FSM,2008,5
FSM,2012,6
FSM,2016,5
GAB,1972,1
GAB,1984,4
GAB,1988,2
GAB,1992,5
GAB,1996,6
GAB,2000,6
GAB,2004,5
GAB,2008,4
GAB,2012,7
GAB,2016,6
GAM,1984,10
GAM,1988,6
GAM,1992,5
GAM,1996,6
GAM,2000,2
GAM,2004,3
GAM,2008,3
GAM,2012,2
GAM,2016,4
GBR,1896,24
GBR,1900,79
GBR,1904,6
GBR,1906,100
GBR,1908,732
GBR,1912,317
GBR,1920,218
GBR,1924,337
GBR,1928,290
GBR,1932,146
GBR,1936,172
GBR,1948,489
GBR,1952,301
GBR,1956,208
GBR,1960,287
GBR,1964,224
GBR,1968,250
GBR,1972,336
GBR,1976,283
GBR,1980,264
GBR,1984,399
GBR,1988,349
GBR,1992,388
GBR,1996,286
GBR,2000,308
GBR,2004,272
GBR,2008,317
GBR,2012,439
GBR,2016,339
GBS,1996,3
GBS,2000,3
GBS,2004,3
GBS,2008,3
GBS,2012,4
GBS,2016,5
GDR,1968,249
GDR,1972,342
GDR,1976,310
GDR,1980,364
GDR,1988,305
GEO,1996,41
GEO,2000,45
GEO,2004,39
GEO,2008,36
GEO,2012,35
GEO,2016,43
GEQ,1984,5
GEQ,1988,7
GEQ,1992,8
GEQ,1996,5
GEQ,2000,4
GEQ,2004,2
GEQ,2008,3
GEQ,2012,2
GEQ,2016,1
GER,1896,76
GER,1900,60
GER,1904,54
GER,1906,129
GER,1908,124
GER,1912,198
GER,1928,322
GER,1932,176
GER,1936,441
GER,1952,271
GER,1956,192
GER,1960,326
GER,1964,360
GER,1992,465
GER,1996,428
GER,2000,390
GER,2004,403
GER,2008,374
GER,2012,367
GER,2016,369
GHA,1952,6
GHA,1960,12
GHA,1964,21
GHA,1968,18
GHA,1972,23
GHA,1984,18
GHA,1988,14
GHA,1992,18
GHA,1996,17
GHA,2000,18
GHA,2004,11
GHA,2008,9
GHA,2012,7
GHA,2016,12
GRE,1896,142
GRE,1900,4
GRE,1904,13
GRE,1906,416
GRE,1908,36
GRE,1912,54
GRE,1920,48
GRE,1924,58
GRE,1928,35
GRE,1932,13
GRE,1936,51
GRE,1948,68
GRE,1952,43
GRE,1956,15
GRE,1960,47
GRE,1964,19
GRE,1968,33
GRE,1972,54
GRE,1976,39
GRE,1980,35
GRE,1984,60
GRE,1988,48
GRE,1992,61
GRE,1996,152
GRE,2000,144
GRE,2004,300
GRE,2008,137
GRE,2012,94
GRE,2016,79
GRN,1984,6
GRN,1988,7
GRN,1992,5
GRN,1996,2
GRN,2000,3
GRN,2004,5
GRN,2008,9
GRN,2012,8
GRN,2016,6
GUA,1932,1
GUA,1952,32
GUA,1968,46
GUA,1972,11
GUA,1976,11
GUA,1980,10
GUA,1984,47
GUA,1988,18
GUA,1992,32
GUA,1996,28
GUA,2000,15
GUA,2004,19
GUA,2008,13
GUA,2012,24
GUA,2016,25
GUI,1968,1
GUI,1980,10
GUI,1984,1
GUI,1988,7
GUI,1992,11
GUI,1996,5
GUI,2000,6
GUI,2004,4
GUI,2008,5
GUI,2012,4
GUI,2016,5
GUM,1988,26
GUM,1992,33
GUM,1996,9
GUM,2000,7
GUM,2004,4
GUM,2008,7
GUM,2012,8
GUM,2016,5
GUY,1948,7
GUY,1952,1
GUY,1956,6
GUY,1960,6
GUY,1964,1
GUY,1968,6
GUY,1972,4
GUY,1980,10
GUY,1984,12
GUY,1988,8
GUY,1992,7
GUY,1996,6
GUY,2000,4
GUY,2004,4
GUY,2008,4
GUY,2012,6
GUY,2016,7
HAI,1900,4
HAI,1924,12
HAI,1928,3
HAI,1932,3
HAI,1960,1
HAI,1972,7
HAI,1976,14
HAI,1984,3
HAI,1988,5
HAI,1992,8
HAI,1996,7
HAI,2000,5
HAI,2004,8
HAI,2008,7
HAI,2012,5
HAI,2016,10
HKG,1952,9
HKG,1956,4
HKG,1960,4
HKG,1964,31
HKG,1968,24
HKG,1972,16
HKG,1976,36
HKG,1984,67
HKG,1988,68
HKG,1992,52
HKG,1996,26
HKG,2000,39
HKG,2004,35
HKG,2008,41
HKG,2012,47
HKG,2016,38
HON,1968,6
HON,1976,3
HON,1984,20
HON,1988,18
HON,1992,27
HON,1996,7
HON,2000,4
HON,2004,5
HON,2008,8
HON,2012,10
HON,2016,8
HUN,1896,18
HUN,1900,34
HUN,1904,9
HUN,1906,86
HUN,1908,95
HUN,1912,145
HUN,1924,93
HUN,1928,166
HUN,1932,98
HUN,1936,220
HUN,1948,165
HUN,1952,253
HUN,1956,142
HUN,1960,222
HUN,1964,226
